,0
1990-02,0.2019230769230768
1990-03,0.129032258064516
1990-04,0.5114285714285713
1990-05,0.1304347826086955
1990-06,0.4285714285714286
1990-07,0.3076923076923077
1990-08,0.272
1990-09,0.1153846153846152
1990-10,0.125
1990-11,0.2203389830508475
1990-12,0.74
1991-01,0.5384615384615383
1991-02,0.2641509433962263
1991-03,0.7317073170731707
1991-04,0.7027027027027026
1991-05,0.3809523809523809
1991-06,0.2161572052401748
1991-07,0.1615384615384614
1991-08,0.5
1991-09,0.4687499999999998
1991-10,0.6190476190476188
1991-11,0.4605263157894739
1991-12,0.2352941176470586
1992-01,0.2800857678906459
1992-02,0.8225806451612903
1992-03,1.0
1992-04,0.321656050955414
1992-05,1.0
1992-06,0.7727272727272727
1992-07,0.894736842105263
1992-08,1.0
1992-09,0.6666666666666667
1992-10,1.0
1992-11,0.625
1992-12,1.0
1993-01,0.857142857142857
1993-02,1.0
1993-03,0.7222222222222223
1993-04,0.75
1993-05,1.0
1993-06,0.7272727272727275
1993-07,0.4761904761904763
1993-08,0.5714285714285716
1993-09,0.6666666666666665
1993-10,0.5531914893617023
1993-11,0.8888888888888891
1993-12,0.2142857142857142
1994-01,1.0
1994-02,1.0
1994-03,0.2641509433962263
1994-04,1.0
1994-05,0.9152542372881356
1994-06,0.445054945054945
1994-07,0.7796610169491527
1994-08,0.3619047619047617
1994-09,1.0
1994-10,0.4193548387096775
1994-11,0.4444444444444446
1994-12,0.3333333333333332
1995-01,0.1875
1995-02,0.3611111111111111
1995-03,0.5
1995-04,0.5652173913043477
1995-05,0.4000000000000001
1995-06,0.2888888888888887
1995-07,0.323076923076923
1995-08,0.5806451612903225
1995-09,0.75
1995-10,0.4489795918367347
1995-11,0.4130434782608696
1995-12,0.857142857142857
1996-01,0.9285714285714286
1996-02,0.725868725868726
1996-03,0.92
1996-04,0.5555555555555558
1996-05,1.0
1996-06,0.5051546391752577
1996-07,0.40625
1996-08,0.640625
1996-09,0.6533333333333333
1996-10,0.5151515151515151
1996-11,0.3333333333333335
1996-12,0.5833333333333335
1997-01,0.5909090909090908
1997-02,0.6515151515151516
1997-03,1.0
1997-04,0.4427480916030533
1997-05,1.0
1997-06,1.0
1997-07,0.5454545454545452
1997-08,1.0
1997-09,1.0
1997-10,0.5569620253164556
1997-11,0.8999999999999999
1997-12,0.6470588235294117
1998-01,0.6842105263157896
1998-02,0.7500000000000002
1998-03,1.0
1998-04,0.9736842105263156
1998-05,0.6666666666666667
1998-06,0.5727554179566563
1998-07,0.5
1998-08,0.6359999999999999
1998-09,0.3868312757201646
1998-10,1.0
1998-11,1.0
1998-12,0.909090909090909
1999-01,0.7500000000000002
1999-02,1.0
1999-03,0.8157894736842104
1999-04,1.0
1999-05,0.9411764705882352
1999-06,0.8048780487804879
1999-07,1.0
1999-08,1.0
1999-09,0.7253521126760565
1999-10,1.0
1999-11,0.532258064516129
1999-12,1.0
2000-01,1.0
2000-02,1.0
2000-03,1.0
2000-04,1.0
2000-05,1.0
2000-06,1.0
2000-07,1.0
2000-08,0.6458333333333335
2000-09,0.8723404255319149
2000-10,0.7291666666666667
2000-11,0.5
2000-12,0.9375000000000002
2001-01,0.5384615384615385
