firms,bm,ep,cashpr,dy,lev,sp,roic,agr,gma,chcsho,lgr,acc,pctacc,cfp,absacc,age,chinv,hire,sgr,pchsale_pchrect,pchgm_pchsale,depr,pchdepr,invest,egr,tang,sin,currat,pchcurrat,quick,pchquick,salecash,salerec,cashdebt,divi,divo,securedind,secured,convind,rd,operprof,ps,chpmia,chatoia,chempia,bm_ia,pchcapx_ia,tb,cfp_ia,mve_ia,herf,mve,chtx,roaq,roeq,rsup,cash,cinvest,nincr,sue,aeavol,ear,ms,dolvol,chmom,turn,IPO,indmom,maxret,retvol,baspread,std_dolvol,std_turn,ill,zerotrade,beta,betasq,pricedelay,idiovol
61903,0.4757752959,0.0640919296,1.2102362743,0.004914176,0.5973146354,1.618355829,0.0773344303,0.6759269268,0.4327099773,1.2638402062,0.5029606409,0.0607554029,0.8120950324,0.012043192,0.0607554029,6,0.0697232882,0.3266475645,0.7164880341,0.0217839842,-0.038081325,0.0959657702,-0.075750358,0.3707707275,0.9589626674,0.6208943498,0,1.770635878,0.1385293668,1.2023091504,0.2677001105,25.470588235,3.9074197861,0.194405789,1.0,0.0,0,,0,0.0,1.0441721288,5.0,0.158703655,0.3934038649,0.3487288162,-0.548793342,1.7001586803,-0.725450094,0.0603940527,-484.3507173,0.0985355917,9.9850675395,0.0147011134,0.0214377821,0.0408790533,0.1590531903,0.0592105263,0.0962705785,3.0,0.0061600235,-0.312977099,0.0526315793,5.0,9.210840247,-1.695110768,0.5767857143,0,0.5467738254,0.088888891,0.0332446193,0.0322364361,0.8564122794,3.0817495763,4.5944756e-07,3.1572165e-08,0.9289674453,0.8629805144,0.0857995436,0.0692502294
18980,1.4049307133,0.02408567,-100.6598174,0.0143349758,2.7556807969,5.5159761948,0.0076642791,0.2607158606,0.6635013964,0.0035599858,0.4367830992,0.1695405942,26.258559919,-0.608369339,0.1695405942,6,0.1011027559,0.015,0.2056560585,-0.21900675,-0.071214791,0.1673008854,0.0657714882,0.0917150522,0.0164116377,0.5355080947,0,1.5955393805,-0.156699633,0.8134514127,-0.142903569,219.88083152,3.9020714742,0.0560555833,0.0,0.0,0,,1,0.0,1.4796357064,2.0,0.0106279495,0.1807139699,-0.634868863,0.4433086842,-0.5593157,-0.189508862,-72.94839122,104.89267332,0.5898798893,11.690696057,0.0096908021,-0.008855439,-0.02622481,0.1613632311,0.0058922571,-0.016516572,0.0,-0.013292532,0.7333333333,-0.030761146,4.0,10.953889509,-0.02675821,0.7467186946,0,0.4691328583,0.0283018872,0.0140943189,0.0223417709,0.9548466907,3.304364143,7.8110024e-08,4.471764e-08,1.6855179114,2.8409706298,0.0611648587,0.0654912617
39116,1.6057627788,0.1153345175,-3.041855204,0.0,0.4950858496,2.8196960726,0.0917383485,0.0827112024,0.3918712748,0.0011855365,-0.117498065,0.0589935927,1.0335386721,-0.003868167,0.0589935927,6,0.0133028598,-0.185185185,0.1890312916,0.2303638024,0.3137380352,0.1347820378,0.0304552886,0.0077096768,0.1641389572,0.5636746642,0,5.0587185726,0.2722317455,2.9821573398,0.3361064703,10.101385747,6.5671079243,0.3718792047,0.0,0.0,0,,0,0.0,0.5503634178,6.0,0.1065518043,0.2419607304,-0.133795775,0.2916801681,1.2274337371,-0.738225844,0.2817333926,-51.52528898,0.0648518167,9.8183584938,0.0009764234,0.0080003033,0.0105820106,0.0024472074,0.132869892,-0.03453678,1.0,-0.010499309,0.9089703933,0.0008912664,3.0,8.8791068891,-1.497222277,0.3370830866,0,0.6474215731,0.068965517,0.0308658474,0.0433944614,0.497368464,0.4322465867,1.4990268e-06,1.1150968e-07,1.2701288464,1.6132272863,-0.098661592,0.0724551257
50032,0.6033261222,0.129539616,-1.130986598,0.0299959438,1.3328184154,9.0381557599,0.1396759444,0.0372572277,1.1128455402,0.0016251354,-0.022417645,0.0774397247,1.1366542285,-0.017702136,0.0774397247,6,0.0261705736,0.0368852459,0.1784418386,0.2236919596,-0.0443904,0.1034010689,0.1335621156,0.0978314606,0.1989359987,0.5681809619,0,1.5890308618,0.1125644255,0.5787139427,-0.014545515,46.297191537,96.885571418,0.1710863493,0.0,0.0,0,,0,0.0,3.9576414638,5.0,-0.001482671,0.1643716607,-0.075684364,-0.71161049,-0.845812485,0.6067874667,-0.241974176,168.25504314,0.0639776414,12.78320273,0.0018635796,0.0158953319,0.0523115342,0.2531018321,0.0740810405,-0.005122162,1.0,0.0035023439,-0.052890529,0.0326019768,4.0,9.8552815927,0.2498807588,0.0588261709,0,0.4106883059,0.0315789469,0.0131892284,0.0127232807,1.0675461694,0.4291129074,2.2796331e-07,3.3093463e-07,0.8954893847,0.8019012381,0.0846583734,0.033622436
49330,2.2929938517,0.0365515536,-20.14999401,0.0627589828,4.5252420065,17.532457728,0.0332747285,-0.007187408,0.6898244089,0.0,-0.005090321,0.0145230426,2.7188983856,-0.062828406,0.0145230426,6,0.0088467294,0.0769230769,0.1123894682,0.9653156567,-0.020461379,0.0732402123,0.1890639845,0.0595513682,-0.011300196,0.4729887845,0,1.8341750634,-0.102867239,0.3754280506,-0.357651663,120.94971264,,0.0670698817,0.0,0.0,0,,1,0.0,1.9448460629,3.0,-0.048205794,0.109026721,-0.037389738,1.345834385,2.3572231564,0.2994505839,-16.18284399,-25.72903317,0.1990264028,11.063992286,-0.008530377,-0.003003706,-0.008931545,-0.027596875,0.0176721094,0.0266175261,1.0,-0.032626522,-0.641170916,0.0199849177,4.0,10.844129375,-1.204986933,0.6013129748,0,0.5022802289,0.0909090936,0.0286179738,0.0228855962,1.0742850204,8.8682232319,1.7544772e-07,3.0690197e-08,0.9874800743,0.9751168971,-0.146257515,0.0577957171
17304,1.5251924764,0.1930600342,-21.18793925,0.0682023366,1.652521925,4.7973153442,0.1395216205,0.0406170857,0.5422991685,0.0100403583,-0.004112517,0.0499671206,0.8080323959,0.0370612722,0.0499671206,6,0.0029267319,0.0,0.0754147053,-0.031534349,0.0189306476,0.0645540441,-0.042137017,0.0450704403,0.0970662731,0.6040802564,0,2.4043688274,-0.042871428,1.6260722283,-0.05048129,74.601105819,4.0530374043,0.1660309268,0.0,0.0,0,,1,0.0,1.1378583578,5.0,0.0032844137,0.1256938706,-0.049912629,-0.157521347,0.0130769711,1.787057299,0.0285025258,207.12394674,0.1020217692,13.254132812,-0.001987339,0.0107952189,0.0225678521,0.0274170982,0.0634135008,0.018047028,1.0,-0.004087572,-0.318373643,-0.036148076,4.0,12.487644998,0.6123670711,0.455769454,0,0.3549208337,0.042857144,0.0219580106,0.0249760911,1.2310957172,2.4977849268,4.4724163e-08,4.4904843e-08,0.5392138,0.2907515221,0.2046840333,0.0296721269
11982,0.9443504231,-0.046590343,-16.25833333,0.0237597478,1.1786958686,2.1466069355,0.0073944913,0.1320734685,0.5622677567,0.0034965035,0.386308641,0.071506822,3.0683760684,-0.189547038,0.071506822,6,0.0435547588,-0.03358209,0.096778569,-0.013501287,-0.044871789,0.3424201121,-0.162780462,0.0020879782,-0.078790625,0.4014912314,0,1.1046901173,-0.24177065,0.4124092686,-0.243395319,31.709803922,8.0718742201,0.101992084,0.0,0.0,0,,0,0.0,0.9632267254,1.0,-0.035317449,-0.003551948,-0.078438575,-0.229049549,-0.328931979,1.4161328572,-1.254173358,-94.25188582,0.0471550798,9.2754548991,-0.026132081,-0.014446315,-0.034680574,-0.226434379,0.019420904,-0.072334522,0.0,-0.091800232,,-0.138199832,2.0,,0.582621072,,0,0.4748984529,0.008547009,0.0076414875,0.0241635554,,,,,0.7314346895,0.534996705,-0.408918813,0.0808160568
47730,1.1673214224,0.1472337729,-5.832607581,0.0465155479,0.7073842132,6.9320791266,0.1894599164,0.0549898167,0.6958430035,0.020952381,-0.018757783,0.0464348,0.5758384146,0.0624509106,0.0464348,6,0.0062384278,0.1,0.1620459858,0.1110076073,-0.011108502,0.2986550633,0.3121493132,0.0014998658,0.1053316686,0.5381968962,0,2.5967307242,0.5114231142,2.1887157253,0.5112146549,59.856346899,7.8115456356,0.3248084856,0.0,0.0,0,,0,0.0,1.1286560582,4.0,-0.420677471,0.1725714239,0.0020766441,0.3471872124,-1.193115284,0.9411968737,-4.227976425,-289.1220021,0.2194708744,10.678583316,0.003110248,0.0224606696,0.0343203728,0.2026428243,0.0617760618,-0.001743017,3.0,0.0039557854,-0.599271403,0.0336666675,2.0,9.2365927431,-0.083923949,0.3257151741,0,0.6932422507,0.0125000002,0.0143590752,0.0115666851,1.0376278534,1.0325044152,4.2865188e-07,1.1964286e-07,0.9680574461,0.9371352189,0.0156333777,0.0302204957
48581,0.73961052,0.1346115238,-1.617673072,0.016964465,2.3304155792,2.4523188115,0.1415707462,0.1656223798,0.3518789542,0.0,0.1583474703,0.0612443155,1.2975391499,-0.040052198,0.0612443155,6,0.0233150774,-0.007598039,0.1254537749,-0.363399728,-0.003631175,0.07660719,-0.045357541,0.1096043906,0.1891542931,0.4551616095,0,1.4298842892,-0.256448239,1.1306236685,-0.321153779,9.8215003618,10.049362402,0.1209960793,0.0,0.0,0,,1,0.0,1.218140736,3.0,-0.037053873,-0.033376089,-0.103902053,-0.012271919,0.6203797376,0.5579712924,-0.001142164,-59.859024,0.2407460936,11.509118227,0.0024421297,0.0178003898,0.0738870793,0.0757350529,0.079276738,0.0850396074,3.0,0.0064903796,0.8359757291,0.0036939718,2.0,11.166176099,-0.406819335,0.8016211604,0,0.743706,0.0897435918,0.0400944843,0.0468916541,0.8961582143,4.7982878766,1.2023898e-07,2.2688053e-08,1.7651622003,3.1157975932,0.0032491461,0.0702334794
44652,0.7695191501,0.159677281,-9.812732446,0.0465728398,3.1252926917,13.60649231,0.0836436404,1.4803528326,1.5405628983,0.2241725176,2.4847048686,0.1888247217,3.2005671333,-0.351380576,0.1888247217,5,0.2965093217,1.0111731844,1.4867555452,-1.709283905,-0.400125225,0.0717436909,-0.204468319,0.8351776354,0.554928657,0.5386849935,0,1.3579541042,-0.237381075,0.2593112751,-0.024836011,70.914352069,114.94277648,0.1633008313,0.0,0.0,0,,0,0.0,5.0358606557,1.0,-0.011005188,0.6630181964,0.8912522986,-0.545417462,2.1166331993,0.2676473313,-0.575652616,150.68881965,0.0639776414,12.40624333,-0.002129428,0.0059878437,0.0205065654,0.5013728277,0.019220864,-0.010555592,0.0,-0.013436479,-0.166666667,-0.087756377,3.0,10.702752774,-0.01197864,0.1635104867,0,0.4106883059,0.0186046511,0.0084538767,0.0109825232,1.0378757451,0.7484274431,1.2616828e-07,1.8301214e-07,0.8152985246,0.6647116842,-0.070850755,0.0355893409
