Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2017-07-12 00:00:00+01:00,0.107,0.107,0.105,0.105,122000,0.0,0.0
2017-07-13 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-14 00:00:00+01:00,0.107,0.107,0.107,0.105,2250,0.0,0.0
2017-07-17 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-18 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-19 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-20 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-21 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-24 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-25 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-26 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-27 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-28 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-07-31 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-08-01 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-08-02 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-08-03 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-08-04 00:00:00+01:00,0.105,0.105,0.105,0.105,50000,0.0,0.0
2017-08-07 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-08-08 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-08-09 00:00:00+01:00,0.106,0.106,0.106,0.105,1331,0.0,0.0
2017-08-10 00:00:00+01:00,0.105,0.105,0.105,0.105,0,0.0,0.0
2017-08-11 00:00:00+01:00,0.1,0.1,0.1,0.105,1331,0.0,0.0
2017-08-14 00:00:00+01:00,0.1,0.1,0.1,0.095,15000,0.0,0.0
2017-08-15 00:00:00+01:00,0.095,0.095,0.095,0.095,0,0.0,0.0
2017-08-16 00:00:00+01:00,0.095,0.095,0.095,0.095,0,0.0,0.0
2017-08-17 00:00:00+01:00,0.095,0.1,0.09,0.093,300000,0.0,0.0
2017-08-18 00:00:00+01:00,0.093,0.093,0.093,0.093,0,0.0,0.0
2017-08-21 00:00:00+01:00,0.093,0.093,0.093,0.093,0,0.0,0.0
2017-08-22 00:00:00+01:00,0.1,0.1,0.1,0.093,50000,0.0,0.0
2017-08-23 00:00:00+01:00,0.093,0.093,0.093,0.093,0,0.0,0.0
2017-08-24 00:00:00+01:00,0.085,0.094,0.085,0.09,69000,0.0,0.0
2017-08-25 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-08-29 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-08-30 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-08-31 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-01 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-04 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-05 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-06 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-07 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-08 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-11 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-12 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-13 00:00:00+01:00,0.095,0.095,0.095,0.09,10000,0.0,0.0
2017-09-14 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-15 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-18 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-19 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-20 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-21 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-22 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-25 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-26 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-27 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-28 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-09-29 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-02 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-03 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-04 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-05 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-06 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-09 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-10 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-11 00:00:00+01:00,0.094,0.094,0.094,0.09,403,0.0,0.0
2017-10-12 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-13 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-16 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-17 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-18 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-19 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-20 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-23 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-24 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-25 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-26 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-27 00:00:00+01:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-30 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-10-31 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-01 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-02 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-03 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-06 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-07 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-08 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-09 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-10 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-13 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-14 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-15 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-16 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-17 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-20 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-21 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-22 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-23 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-24 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-27 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-28 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-29 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-11-30 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-12-01 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-12-04 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-12-05 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-12-06 00:00:00+00:00,0.09,0.094,0.094,0.09,0,0.0,0.0
2017-12-07 00:00:00+00:00,0.09,0.094,0.094,0.09,0,0.0,0.0
2017-12-08 00:00:00+00:00,0.09,0.094,0.094,0.09,0,0.0,0.0
2017-12-11 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
2017-12-12 00:00:00+00:00,0.09,0.09,0.09,0.09,0,0.0,0.0
