Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-07-01 00:00:00+01:00,5.463,5.463,5.463,5.463,0,0.0,0.0
1988-07-04 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-05 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-06 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-07 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-08 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-11 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-12 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-13 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-14 00:00:00+01:00,5.508,5.508,5.508,5.508,0,0.0,0.0
1988-07-15 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-18 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-19 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-20 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-21 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-22 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-25 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-26 00:00:00+01:00,5.584,5.584,5.584,5.584,0,0.0,0.0
1988-07-27 00:00:00+01:00,5.66,5.66,5.66,5.66,0,0.0,0.0
1988-07-28 00:00:00+01:00,5.66,5.66,5.66,5.66,0,0.0,0.0
1988-07-29 00:00:00+01:00,5.66,5.66,5.66,5.66,0,0.0,0.0
1988-08-01 00:00:00+01:00,5.66,5.66,5.66,5.66,0,0.0,0.0
1988-08-02 00:00:00+01:00,5.736,5.736,5.736,5.736,0,0.0,0.0
1988-08-03 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-08-04 00:00:00+01:00,5.857,5.857,5.857,5.857,0,0.0,0.0
1988-08-05 00:00:00+01:00,5.888,5.888,5.888,5.888,0,0.0,0.0
1988-08-08 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-09 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-10 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-11 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-12 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-15 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-16 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-17 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-18 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-19 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-22 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-23 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-24 00:00:00+01:00,5.903,5.903,5.903,5.903,0,0.0,0.0
1988-08-25 00:00:00+01:00,5.842,5.842,5.842,5.842,0,0.0,0.0
1988-08-26 00:00:00+01:00,5.842,5.842,5.842,5.842,0,0.0,0.0
1988-08-29 00:00:00+01:00,5.842,5.842,5.842,5.842,0,0.0,0.0
1988-08-30 00:00:00+01:00,5.842,5.842,5.842,5.842,0,0.0,0.0
1988-08-31 00:00:00+01:00,5.842,5.842,5.842,5.842,0,0.0,0.0
1988-09-01 00:00:00+01:00,5.766,5.766,5.766,5.766,0,0.0,0.0
1988-09-02 00:00:00+01:00,5.766,5.766,5.766,5.766,0,0.0,0.0
1988-09-05 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-09-06 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-09-07 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-09-08 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-09-09 00:00:00+01:00,5.766,5.766,5.766,5.766,0,0.0,0.0
1988-09-12 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-09-13 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-09-14 00:00:00+01:00,5.812,5.812,5.812,5.812,0,0.0,0.0
1988-09-15 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-16 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-19 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-20 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-21 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-22 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-23 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-26 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-27 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-28 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-29 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-09-30 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
1988-10-03 00:00:00+01:00,5.797,5.797,5.797,5.797,0,0.0,0.0
