Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-03-07 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-10 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-11 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-12 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-13 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-14 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-17 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-18 00:00:00+00:00,1000.0,1000.0,1000.0,1000.0,0,0.0,0.0
2014-03-19 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-20 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-21 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-24 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-25 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-26 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-27 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-28 00:00:00+00:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-03-31 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-01 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-02 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-03 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-04 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-07 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-08 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-09 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-10 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-11 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-14 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-15 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-16 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-17 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-22 00:00:00+01:00,925.0,925.0,925.0,925.0,0,0.0,0.0
2014-04-23 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-04-24 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-04-25 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-04-28 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-04-29 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-04-30 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-01 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-02 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-06 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-07 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-08 00:00:00+01:00,700.0,700.0,700.0,625.0,126,0.0,0.0
2014-05-09 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-12 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-13 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-14 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-15 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-16 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-19 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-20 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-21 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-22 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-23 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
2014-05-27 00:00:00+01:00,625.0,625.0,625.0,625.0,0,0.0,0.0
