firms,age,agr,cashdebt,egr,invest,lgr,mve_ia,pchsale_pchinvt,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,22.0,0.1077336848549972,0.1520892771858582,-0.0198401701655968,0.0263859907788037,0.2492351128208589,0.2105703949473147,-0.1246270397349758,0.0281747039758588,0.016216216216216,0.0277777777777779,0.0818713450292398,0.1419753086419752,0.0335195530726257,0.2758620689655173,0.25,0.2012987012987013,0.1858974358974359,0.1349693251533743,0.4453125,0.4230769230769231,0.4230769230769231,0.2847222222222223,0.3602941176470589,0.2585034013605443,-0.0364583333333332,-0.2479674796747967,-0.2658730158730158,-0.26,-0.3416370106761566,-0.1062801932367148,-0.0561224489795917,0.0277777777777779,0.0451977401129943,0.0451977401129943,0.022099447513812,-0.119047619047619,0.0277777777777779,0.1783439490445859,0.1011904761904762,0.0882352941176471,0.15625,0.1783439490445859,0.1419753086419752,0.2012987012987013,0.15625,0.1708860759493671,0.2333333333333334,0.3503649635036496,0.4453125,0.6371681415929207,0.7452830188679245,0.8316831683168318,0.8686868686868687,0.8316831683168318,0.7619047619047619,0.6818181818181817,0.7619047619047619
BBOU_00-L,21.0,0.1290946527734448,0.1443180070736583,-0.0791881074899942,0.0486054782554439,0.1947350658116773,11.703064742072824,-0.0035088550629081,0.1509270704573547,0.0369668246445495,-0.0267527675276751,0.0144230769230768,0.0445544554455445,0.1047120418848166,0.0966735966735967,0.1344086021505375,0.1761426978818283,0.2514827995255042,0.294478527607362,0.3354430379746835,0.3121890547263684,0.1530054644808742,0.0978147762747139,0.1920903954802262,0.0688956433637286,0.1001042752867571,0.0445544554455445,0.2015945330296129,0.1735261401557286,0.0787321063394683,0.0134486071085495,-0.0028355387523628,0.021297192642788,0.0222868217054263,-0.0231481481481481,-0.0222428174235401,-0.0312213039485766,-0.0312213039485766,0.0076408787010506,0.0571142284569139,0.0124760076775432,-0.0267527675276751,-0.0028355387523628,0.0222868217054263,0.0592369477911647,0.0539460539460541,0.0528942115768464,0.0809426229508196,0.0809426229508196,0.1211477151965993,0.1223404255319149,0.1380798274002159,0.1454940282301846,0.188063063063063,0.1657458563535911,0.1593406593406594,0.1907449209932281,0.2470449172576831
BBTU_63-L^C18,21.0,-0.1637964321569234,0.1445356277791836,-0.8158536585365854,-0.0214688392926094,-0.2955819828701707,0.5586772304329646,0.8806415834826381,-0.1193584165173619,-0.0764331210191083,0.13768115942029,0.13768115942029,0.256,-0.0368098159509201,-0.0426829268292682,0.0261437908496733,0.0,-0.0977011494252872,-0.2149999999999999,-0.0308641975308642,0.1056338028169014,0.0680272108843538,-0.0063291139240506,0.0397350993377483,0.0979020979020979,-0.0248447204968944,-0.1948717948717948,-0.2523809523809524,-0.2488038277511961,-0.3984674329501915,-0.4332129963898916,-0.435251798561151,-0.384313725490196,-0.3984674329501915,-0.4290909090909091,-0.3984674329501915,-0.5449275362318841,-0.5790884718498659,-0.5686813186813187,-0.5355029585798816,-0.5790884718498659,-0.5475504322766571,-0.5475504322766571,-0.5395894428152492,-0.5449275362318841,-0.5943152454780362,-0.5589887640449438,-0.546242774566474,-0.5514285714285714,-0.5285285285285285,-0.5242424242424242,-0.5242424242424242,-0.5501432664756447,-0.5313432835820895,-0.5602240896358543,-0.8338624338624339,-0.8229988726042841,-0.8223981900452488
BCQE_67-L^A14,22.0,-0.0235525024533856,0.1293800539083558,-0.3851717902350813,-0.029440628066732,0.1230329041487839,1.105888817180546,0.0247319636068514,-0.0179509632224168,0.0415584415584415,0.0294117647058822,0.0814606741573034,0.046195652173913,0.0724233983286908,0.1323529411764705,0.1702127659574468,0.3652482269503547,0.3006756756756756,0.4922480620155038,0.7824074074074074,1.1038251366120218,1.1270718232044197,0.774193548387097,1.0263157894736843,0.925,0.4922480620155038,0.096866096866097,0.0906515580736544,0.2145110410094637,-0.0374999999999999,0.0377358490566037,0.2300319488817892,0.2222222222222223,0.2581699346405228,0.3556338028169015,0.2622950819672132,-0.0609756097560975,-0.0025906735751294,-0.0919811320754717,-0.1894736842105263,-0.2158859470468431,-0.2045454545454544,-0.0677966101694914,0.0547945205479452,0.1159420289855073,0.023936170212766,0.1191860465116279,0.1702127659574468,0.3414634146341464,0.4154411764705881,0.5277777777777779,0.6452991452991454,0.5778688524590165,0.4154411764705881,0.3898916967509025,0.4000000000000001,0.610878661087866,0.4980544747081714
BDAJ_H9-L,15.0,-0.1529062663641123,0.1237393328161365,-8.136363636363638,0.0459067900157095,-0.21375368092846,0.1868285138521245,0.0230603317946338,-0.0032554576790502,0.2173913043478261,0.108433734939759,0.1794871794871795,0.0454545454545454,0.0337078651685394,0.1794871794871795,0.2432432432432432,0.4153846153846154,0.4375,0.4153846153846154,0.2602739726027399,0.5862068965517244,0.5593220338983051,0.3529411764705881,0.6727272727272726,0.5593220338983051,0.2777777777777779,0.2105263157894736,0.2432432432432432,0.1794871794871795,0.0454545454545454,-0.0315789473684209,-0.0515463917525772,-0.0212765957446807,0.0,0.0109890109890109,-0.1559633027522936,-0.0515463917525772,-0.4355828220858895,-0.4619883040935671,-0.4523809523809523,-0.4917127071823204,-0.5422885572139302,-0.5306122448979591,-0.5533980582524272,-0.6963696369636964,-0.7115987460815048,-0.7169230769230769,-0.7546666666666666,-0.7363896848137537,-0.7195121951219512,-0.7079365079365079,-0.6579925650557621,-0.6654545454545455,-0.6794425087108014,-0.7097791798107256,-0.7220543806646526,-0.7363896848137537,-0.7526881720430108
BJJT_37-L,20.0,0.2966239476576951,0.0028794949808802,0.0625984251968503,5.265825451050866e-05,0.2654423807366624,0.5215235136906218,0.2155497534087612,0.2155497534087612,-0.0117187500000001,0.0406504065040651,0.032258064516129,-0.0191570881226053,-0.0622710622710622,0.1377777777777777,0.3689839572192512,0.28,0.5147928994082842,0.4545454545454546,0.523809523809524,0.4797687861271678,0.4382022471910112,0.4382022471910112,0.3333333333333335,0.4463276836158192,0.1636363636363635,0.1327433628318586,0.2367149758454108,0.1851851851851851,0.0078740157480314,-0.0656934306569343,-0.0656934306569343,-0.0077519379844961,-0.0229007633587786,-0.0724637681159419,-0.1438127090301003,-0.3173333333333333,-0.3173333333333333,-0.3567839195979899,-0.4128440366972478,-0.3962264150943396,-0.419501133786848,-0.4434782608695652,-0.4285714285714286,-0.4285714285714286,-0.4060324825986078,-0.4046511627906977,-0.3663366336633663,-0.3786407766990292,-0.2747875354107648,-0.2514619883040935,-0.2195121951219512,-0.2289156626506023,-0.2195121951219512,-0.2947658402203856,-0.2242424242424241,-0.1974921630094043,-0.1351351351351351
BLNT_37-L^D19,13.0,0.0745263601599495,0.1003973775880908,0.024246586196878,0.0075446298033288,0.0871870404820469,0.4611377492123326,0.1221160919082076,0.1221160919082076,0.0747863247863249,-0.0330578512396694,0.0909090909090908,0.0376940133037693,-0.031055900621118,-0.029045643153527,0.0783410138248847,0.1498771498771496,0.1090047393364928,0.0493273542600896,0.1142857142857141,0.0540540540540539,-0.0063694267515923,0.0684931506849315,-0.064,0.0493273542600896,0.106382978723404,0.04,0.1584158415841583,0.19693094629156,0.2283464566929132,0.248,0.248,0.2999999999999998,0.3565217391304347,0.4096385542168674,0.3846153846153846,0.2786885245901638,0.2546916890080428,0.1999999999999999,0.2513368983957218,0.1304347826086955,0.0173913043478262,0.0909090909090908,0.04,0.0985915492957747,0.1788413098236774,0.1142857142857141,0.1470588235294117,0.1331719128329298,0.193877551020408,0.1878172588832487,0.3109243697478991,0.1699999999999999,0.3220338983050845,0.2251308900523561,0.2821917808219178,-0.0168067226890756,0.0285714285714284
BLNV_40-L^F19,12.0,-0.2298447561083179,-1.0537296167388812,-0.282674690138315,0.0014076328246743,0.0222231342211644,0.0785665773969481,1.1437022645546675,1.201816299642387,-0.0507936507936507,0.0,-0.0454545454545454,0.05,0.05,0.0161290322580645,0.351931330472103,0.290983606557377,0.25,0.3125,0.4062499999999998,0.3577586206896552,0.4449541284403668,0.4253393665158371,0.5144230769230769,0.4318181818181816,0.0096153846153845,0.3577586206896552,0.4788732394366197,0.129032258064516,-0.0597014925373134,-0.0680473372781065,-0.0999999999999999,-0.0568862275449101,-0.009433962264151,-0.0735294117647058,0.125,-0.0680473372781065,-0.0307692307692307,-0.0999999999999999,-0.1225626740947075,-0.2588235294117647,-0.2921348314606742,-0.3269230769230768,-0.3396226415094339,-0.3368421052631579,-0.3571428571428572,-0.384765625,-0.37,-0.37,-0.3871595330739299,-0.3152173913043478,-0.34375,-0.3,-0.2125,-0.2808219178082192,-0.2758620689655172,-0.3076923076923077,-0.2317073170731707
BPVK_29-L,14.0,0.0472031816739817,0.2667918095735633,0.1582526977887568,-0.024752053922732,-0.0099396664117311,18.17042769624248,-0.0282015873758684,-0.0739727790558924,-0.002384196185286,0.00893470790378,0.0664729386124227,0.0790150679897097,0.0618444846292947,0.0280112044817928,0.0553558590941767,0.084194977843427,0.139751552795031,0.2627956989247311,0.2107216494845361,0.3107142857142857,0.0898292501855975,0.0459565372283576,0.2132231404958677,0.0857988165680474,0.1618519984170954,0.0730994152046784,0.20475995075913,0.3784037558685444,0.346788990825688,0.3961008083689965,0.4577954319761668,0.5633652822151223,0.4081534772182253,0.3567467652495377,0.2809773123909249,0.2600858369098711,0.1862626262626261,0.207236842105263,0.1604743083003952,0.1045899172310007,0.0942974282519568,0.0821968300774051,0.0802060338484178,0.0448398576512454,0.0113675508095072,0.0699708454810494,0.015916955017301,-0.0685279187817259,-0.119640179910045,-0.1452692867540029,-0.0924265842349305,-0.1004901960784314,0.0251396648044692,-0.031023102310231,0.0099759201926383,0.1087613293051359,0.0738844184345282
BQMM_18-L^C11,7.0,-0.2445157045014318,-4.3453259532595325,-0.2408586431745177,-0.0012326342227453,-0.3416624171341152,0.0011009834062764,-0.8287119538099651,-0.8287119538099651,0.3333333333333335,-0.25,-0.25,-0.4,-0.25,-0.5,-0.25,-0.25,-0.25,-0.25,-0.25,-0.4,-0.25,0.0,-0.25,-0.25,-0.25,-0.25,-0.25,-0.4,-0.5,-0.25,-0.4,-0.25,-0.5,-0.4,-0.4,-0.5,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.4,-0.4,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
