firms,age,agr,cash,cashdebt,chatoia,chcsho,che,chpmia,chtx,egr,herf,lgr,mve_ia,pchgm_pchsale,pchsale_pchinvt,pchsale_pchxsga,roaq,roeq,sgr,tb,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BALZ_07-L^I10,21.0,0.2936037466713539,0.1191539739857309,0.2116650390477371,1.2517462265361397,0.0007942705123775,3.1675000000000004,-0.0498968765165098,0.0096101358922055,0.4124598002708191,4.120412678088108e-08,0.1625355519958155,0.2239125882734316,0.0071056309263628,-0.0112465689587929,0.0031861692338015,0.0277154298156654,0.0720077107873527,0.2208223579741823,0.7547419613912645,-0.0153846153846154,0.0,-0.0972222222222222,-0.0441176470588235,-0.1156462585034012,-0.3229166666666666,-0.4715447154471545,-0.4841269841269841,-0.48,-0.5373665480427046,-0.3719806763285023,-0.3367346938775509,-0.2777777777777778,-0.2655367231638418,-0.2655367231638418,-0.2817679558011049,-0.3809523809523809,-0.2777777777777778,-0.1719745222929936,-0.2261904761904761,-0.2352941176470587,-0.1875,-0.1719745222929936,-0.1975308641975308,-0.1558441558441557,-0.1875,-0.1772151898734177,-0.1333333333333333,-0.0510948905109489,0.015625,0.1504424778761064,0.2264150943396226,0.2871287128712871,0.3131313131313131,0.2871287128712871,0.2380952380952381,0.1818181818181816,0.2380952380952381,0.3402061855670104,0.3541666666666667,0.6049382716049383,0.4772727272727273,0.566265060240964,0.6666666666666667,1.096774193548387,0.9696969696969696,1.166666666666667,1.096774193548387,1.363636363636363
BBTU_63-L^C18,20.0,0.2000926784059315,0.0146466809421841,0.1685539378945031,0.7717755763521141,2.144279074987613e-05,-9.749999999999991,-0.2625668634809115,-0.0023958537062389,-0.2724046140195209,5.302086748138806e-07,0.0608576284481632,0.7665412389363212,-0.1323139436331433,0.9490688259109312,-0.0623235791523601,0.0427446134836666,-0.16875,-0.0509311740890689,0.2890705710638008,0.1408450704225352,-0.0340136054421769,-0.1012658227848102,-0.0596026490066226,-0.0069930069930069,-0.1180124223602485,-0.2717948717948718,-0.3238095238095239,-0.3205741626794258,-0.4559386973180076,-0.4873646209386282,-0.4892086330935251,-0.4431372549019607,-0.4559386973180076,-0.4836363636363636,-0.4559386973180076,-0.5884057971014494,-0.6193029490616622,-0.6098901098901099,-0.5798816568047338,-0.6193029490616622,-0.590778097982709,-0.590778097982709,-0.5835777126099707,-0.5884057971014494,-0.6330749354005168,-0.601123595505618,-0.5895953757225434,-0.5942857142857143,-0.5735735735735736,-0.5696969696969697,-0.5696969696969697,-0.5931232091690545,-0.5761194029850747,-0.6022408963585435,-0.8497354497354497,-0.8399098083427283,-0.8393665158371041,-0.8380843785632839,-0.8249075215782984,-0.8276699029126213,-0.8148631029986962,-0.8131578947368421,-0.7988668555240793,-0.7988668555240793,-0.7977207977207977,-0.7848484848484849,-0.8027777777777778,-0.8138925294888597
BDAJ_H9-L,14.0,-0.0608196721311475,0.1121495327102803,0.0106613359986673,1.155203176956695,7.021289194119165e-06,-7.300000000000001,-0.1331474269199727,-0.0065280464216634,-0.6691729323308271,1.0524251842543996e-07,-0.07380073800738,0.191027409198672,-0.1449125941665056,-0.1404764001408945,-6.849833560726652,0.0170186769069645,-2.215909090909091,-0.0228293413173651,1.5749875959507085,0.2586206896551724,-0.0169491525423729,-0.1470588235294119,0.0545454545454544,-0.0169491525423729,-0.1944444444444444,-0.2368421052631579,-0.2162162162162162,-0.2564102564102565,-0.3409090909090909,-0.3894736842105263,-0.4020618556701031,-0.3829787234042553,-0.3695652173913044,-0.3626373626373627,-0.4678899082568808,-0.4020618556701031,-0.6441717791411044,-0.6608187134502924,-0.6547619047619048,-0.6795580110497238,-0.7114427860696517,-0.7040816326530612,-0.7184466019417476,-0.8085808580858086,-0.8181818181818182,-0.8215384615384616,-0.8453333333333334,-0.833810888252149,-0.8231707317073171,-0.8158730158730159,-0.7843866171003717,-0.7890909090909091,-0.7979094076655052,-0.8170347003154574,-0.824773413897281,-0.833810888252149,-0.8440860215053764,-0.8635294117647059,-0.8675799086757991,-0.861244019138756,-0.861244019138756,-0.8520408163265306,-0.8415300546448088,-0.8469656992084433,-0.8449197860962567,-0.8388888888888889,-0.8501291989664083,-0.8501291989664083
BJJT_37-L,19.0,-0.0554049516893194,0.1203888462522384,0.004992968124407,0.0123241150457331,6.997547880561855e-05,-6.15,0.1611900218255439,-0.0006768759368953,0.1480225988700565,4.58564112871485e-08,-0.0666610291869669,0.5398946805500757,0.291469681397739,-0.291469681397739,-0.291469681397739,0.000526582545105,0.0157480314960629,-0.291469681397739,-2.3120160685714577,-0.0289017341040462,-0.0280898876404495,-0.0280898876404495,-0.0989583333333332,-0.0225988700564971,-0.2136363636363637,-0.2345132743362831,-0.1642512077294685,-0.1990740740740741,-0.3188976377952756,-0.3686131386861314,-0.3686131386861314,-0.3294573643410853,-0.3396946564885497,-0.3731884057971014,-0.4214046822742475,-0.5386666666666666,-0.5386666666666666,-0.5653266331658291,-0.6032110091743119,-0.5919811320754718,-0.6077097505668934,-0.6239130434782608,-0.6138392857142858,-0.6138392857142858,-0.5986078886310904,-0.5976744186046512,-0.5717821782178218,-0.5800970873786409,-0.5099150141643058,-0.4941520467836257,-0.4725609756097561,-0.4789156626506023,-0.4725609756097561,-0.5234159779614325,-0.4757575757575757,-0.457680250783699,-0.4155405405405405,-0.3544776119402986,-0.3396946564885497,-0.3024193548387096,-0.32421875,-0.308,-0.2821576763485477,-0.2606837606837606,-0.2136363636363637,-0.191588785046729,-0.2606837606837606,-0.2909836065573771
BLNT_37-L^D19,12.0,0.3388293193823754,0.0464751241354122,0.1116519363581363,0.621585900309148,1.0559336927496868e-05,-9.362000000000002,-0.1526326848762365,0.0018632812785989,0.0358686730506155,1.1757212913768205e-07,0.454621978298508,0.597813460106071,-0.0051699077025235,0.1249337605269808,0.1494409878594382,0.0201773989587328,0.0935593354639338,0.1249337605269808,0.6927261473567297,-0.054054054054054,-0.057324840764331,0.0136986301369863,-0.1119999999999998,-0.0044843049327353,0.0496453900709219,-0.0133333333333331,0.0990099009900991,0.1355498721227621,0.1653543307086615,0.1840000000000001,0.1840000000000001,0.2333333333333334,0.2869565217391305,0.3373493975903616,0.3136094674556213,0.2131147540983606,0.190348525469169,0.1384615384615386,0.1871657754010696,0.0724637681159421,-0.0347826086956519,0.034965034965035,-0.0133333333333331,0.0422535211267607,0.1183879093198994,0.0571428571428571,0.0882352941176471,0.0750605326876514,0.1326530612244898,0.1269035532994924,0.2436974789915968,0.1100000000000001,0.2542372881355932,0.1623036649214662,0.2164383561643836,-0.0672268907563024,-0.024175824175824,-0.1102204408817635,-0.0769230769230767,-0.0512820512820511,0.0301624129930395,0.1044776119402988,0.0909090909090908,0.1715039577836412,0.2507042253521128,0.2982456140350877,0.1532467532467534,0.1935483870967742
BLNV_40-L^F19,11.0,-0.0787389577542044,0.0112240515390121,-0.6460188564838484,-0.3294128974992751,0.0254202269336289,-26.0725,0.2149535060326458,0.0372482164804989,-0.141199882757663,1.7430791641439482e-10,0.3775723654454997,0.0923341495314121,1.5059518141129415,-1.4961798271422575,-1.5059518141129415,-0.0286350793305803,-0.0371264808323094,-1.5059518141129415,1.5749875959507085,-0.0344827586206895,0.0642201834862383,0.0497737556561086,0.1153846153846152,0.0545454545454544,-0.2564102564102565,0.0,0.0892018779342722,-0.1684587813620072,-0.3074626865671642,-0.3136094674556213,-0.3371428571428572,-0.3053892215568862,-0.2704402515723271,-0.3176470588235294,-0.1714285714285714,-0.3136094674556213,-0.2861538461538462,-0.3371428571428572,-0.3537604456824512,-0.4541176470588235,-0.4786516853932585,-0.5042735042735043,-0.5136268343815513,-0.5115789473684211,-0.526530612244898,-0.546875,-0.536,-0.536,-0.5486381322957199,-0.4956521739130435,-0.5166666666666666,-0.4844444444444444,-0.42,-0.4703196347031964,-0.4666666666666667,-0.4901098901098901,-0.4341463414634146,-0.4463007159904535,-0.4666666666666667,-0.4005167958656331,-0.4678899082568808,-0.4243176178660051,-0.4214463840399003,-0.4051282051282051,-0.3446327683615819,-0.3501400560224089,-0.3763440860215055,-0.42
BPVK_29-L,13.0,0.348190861322737,0.096528001996778,0.2916555572003477,0.8834356280927974,4.2835101623225366e-06,741.0176999999999,0.0178585478631881,0.0114148567023899,0.4880418554056397,0.0001857087336083,0.2850424294822248,23.5231089448264,0.025470457800515,0.4104796466289554,-0.0553167018068139,0.0459409978168757,0.1355536601859645,0.4774647382742412,0.6585466651998872,0.0825892857142858,-0.1685226429101708,-0.201995012468828,-0.0743801652892562,-0.1715976331360946,-0.113573407202216,-0.1812865497076023,-0.0808370947886747,0.0516431924882627,0.0275229357798163,0.0651450309082262,0.1122144985104269,0.1927582534611287,0.0743405275779374,0.0351201478743068,-0.0226876090750437,-0.0386266094420602,-0.094949494949495,-0.0789473684210526,-0.1146245059288538,-0.1572610985703536,-0.1651136787178531,-0.1743457427202359,-0.1758646063281825,-0.2028469750889681,-0.2283844299001034,-0.1836734693877552,-0.2249134948096885,-0.2893401015228427,-0.3283358320839581,-0.3478893740902475,-0.3075734157650696,-0.3137254901960785,-0.2178770949720671,-0.2607260726072608,-0.2294461644306846,-0.1540785498489426,-0.1806876371616679,-0.2082007776599505,-0.1685226429101708,-0.1160220994475138,-0.1566265060240964,-0.1250000000000001,-0.1246580695584212,-0.0307226308957161,-0.0488322717622081,-0.0179745725558965,0.0676835081029552,0.0800385728061716
BQMM_18-L^C11,6.0,0.2513365883076066,0.8944052220556914,-2.9447004608294933,0.1018182176659799,0.0006067236024844,-0.4486,-4.148639929359254,-0.0001428656467646,0.256197748030735,7.595754639287809e-13,0.1348379629629628,0.0017271436589094,0.2495854506552553,-0.2495854506552553,-0.2495854506552553,-0.0624658245210799,-0.0648214045278809,-0.2495854506552553,1.5749875959507085,-0.2,0.25,0.6666666666666667,0.25,0.25,0.25,0.25,0.25,0.0,-0.1666666666666666,0.25,0.0,0.25,-0.1666666666666666,0.0,0.0,-0.1666666666666666,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,0.25,0.0,0.0,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.1666666666666666,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,-0.4444444444444444,-0.5,-0.5
BUBP_92-L^K18,12.0,0.0413265306122449,0.2191708938254329,0.029299519881817,1.4320031739942995,-0.0003250803606208,9.0,-0.6390075348475592,-0.0004843787842092,-4.574468085106383,9.464087984687235e-06,0.0973405628711593,5.085691387542858,-0.0334194893380393,0.8511333360799824,-0.0112800980264044,0.0007349338559529,-0.0178571428571428,0.088112502746649,1.5749875959507085,-0.0586956521739129,-0.0436590436590436,-0.0416666666666667,0.1111111111111111,0.1794871794871795,0.1057692307692306,-0.0149892933618844,0.0313901345291478,0.0087719298245614,-0.1385767790262172,-0.1605839416058395,-0.1958041958041958,-0.1711711711711712,-0.1726618705035971,-0.2568659127625202,-0.2459016393442623,-0.3333333333333333,-0.3274853801169591,-0.3154761904761904,-0.2977099236641222,-0.2767295597484277,-0.3009118541033435,-0.2123287671232877,-0.1814946619217082,-0.1636363636363637,-0.1887125220458554,-0.1187739463601532,-0.1238095238095239,-0.1512915129151292,-0.1575091575091576,-0.1901408450704225,-0.1726618705035971,-0.187279151943463,-0.1481481481481482,-0.1254752851711027,-0.1401869158878504,-0.0962671905697446,-0.0836653386454183,-0.0725806451612903,-0.0854870775347913,-0.1187739463601532,-0.1711711711711712,-0.1901408450704225,-0.1497227356746766,-0.1320754716981133,-0.1417910447761194,-0.1481481481481482,-0.1958041958041958,-0.1972076788830716
BUNQ_03-L^K12,20.0,-0.5574021012416428,0.485098977594083,-2.6818102999826605,0.947101839776898,0.0013424007719528,0.2694999999999999,-4.255881216709489,-0.0008118433619866,-0.8461443400889768,9.175820115965504e-12,0.4251471825063077,0.0034488054072044,0.040909252799172,-0.4545926282778655,0.1269148886348994,-0.186593707250342,-0.9081225033288948,0.2003938946331856,1.5749875959507085,0.0,0.0,0.0,-0.142857142857143,-0.3333333333333333,-0.5,-0.5714285714285715,-0.5714285714285715,-0.6666666666666667,-0.7,-0.7142857142857143,-0.7272727272727273,-0.7391304347826086,-0.7142857142857143,-0.7692307692307693,-0.7692307692307693,-0.7931034482758621,-0.7692307692307693,-0.8125,-0.8378378378378378,-0.7692307692307693,-0.7,-0.6842105263157895,-0.6666666666666667,-0.6666666666666667,-0.6666666666666667,-0.6470588235294118,-0.6470588235294118,-0.6470588235294118,-0.625,-0.625,-0.625,-0.625,-0.625,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
