firms,age,agr,cashdebt,che,chpmia,egr,herf,lgr,mve_ia,pchsale_pchxsga,sgr,Mom_1,Mom_2,Mom_3,Mom_4,Mom_5,Mom_6,Mom_7,Mom_8,Mom_9,Mom_10,Mom_11,Mom_12,Mom_13,Mom_14,Mom_15,Mom_16,Mom_17,Mom_18,Mom_19,Mom_20,Mom_21,Mom_22,Mom_23,Mom_24,Mom_25,Mom_26,Mom_27,Mom_28,Mom_29,Mom_30,Mom_31,Mom_32,Mom_33,Mom_34,Mom_35,Mom_36,Mom_37,Mom_38,Mom_39,Mom_40,Mom_41,Mom_42,Mom_43,Mom_44,Mom_45,Mom_46,Mom_47,Mom_48,Mom_49
BBOU_00-L,23.0,0.0166032692505397,0.1536191145467322,-36.5,-0.0716121952598856,0.3089593211879211,4.0154302151871146e-05,-0.0597218434687755,14.419897254088427,-0.0352086977627867,0.0159509202453987,0.0510534846029173,-0.0167330677290837,-0.0024252223120452,-0.0374414976599064,-0.0478395061728396,0.0131362889983579,0.0291909924937447,0.0181518151815183,0.0283333333333333,0.0413502109704642,0.0767888307155322,0.0656303972366147,0.1177536231884057,0.1248860528714674,0.0949423247559893,0.1842610364683301,0.166351606805293,0.1067264573991031,0.0988423864648262,0.1279707495429616,0.1696682464454975,0.1383763837638376,0.1865384615384615,0.2217821782178217,0.2921465968586385,0.2827442827442827,0.3268817204301073,0.3756967670011146,0.4638196915776986,0.5141104294478527,0.5620253164556961,0.5348258706467663,0.3486338797814208,0.2840790842872009,0.3943502824858758,0.2502532928064844,0.2867570385818561,0.2217821782178217,0.4054669703872438,0.3726362625139043,0.2617586912065439,0.1853986551392892,0.166351606805293,0.1945788964181993,0.195736434108527,0.1425925925925926,0.1436515291936979,0.1331496786042239,0.1331496786042239
BBTU_63-L^C18,22.0,-0.033154783893609,0.4437432103874605,10.7,-0.7603262955679956,-5.248344370860929,3.9070565337384137e-07,-0.3090447865640308,0.5495776093226078,-0.2091648905250919,-0.0504747142026739,0.1333333333333335,-0.0551181102362204,-0.1891891891891892,-0.2156862745098039,-0.1946308724832215,-0.2105263157894736,-0.0839694656488549,-0.1044776119402985,-0.1044776119402985,-0.024390243902439,-0.0476190476190476,-0.1044776119402985,-0.1044776119402985,-0.1044776119402985,-0.1489361702127659,-0.04,-0.1366906474820143,-0.2307692307692308,-0.2500000000000001,-0.1724137931034483,-0.2356687898089172,-0.1304347826086955,-0.1304347826086955,-0.04,-0.2638036809815951,-0.2682926829268293,-0.2156862745098039,-0.2356687898089172,-0.3103448275862069,-0.4,-0.2592592592592593,-0.1549295774647887,-0.183673469387755,-0.2405063291139241,-0.2052980132450331,-0.1608391608391608,-0.2546583850931677,-0.3846153846153846,-0.4285714285714286,-0.4258373205741627,-0.5402298850574713,-0.5667870036101084,-0.5683453237410072,-0.5294117647058824,-0.5402298850574713,-0.5636363636363637,-0.5402298850574713,-0.6521739130434783,-0.67828418230563
BCQE_67-L^A14,23.0,0.0251256281407035,0.1450506370467167,-10.5,-0.0201086760970798,0.5117647058823529,2.513686805922086e-06,-0.0503184713375796,0.7519191903042052,0.0726976355977273,0.1083370485956308,-0.037037037037037,-0.2082111436950146,-0.2875989445910289,-0.3333333333333332,-0.2875989445910289,-0.3661971830985915,-0.3849658314350797,-0.3918918918918919,-0.3556085918854416,-0.3905191873589164,-0.3333333333333332,-0.2622950819672131,-0.2894736842105262,-0.0939597315436241,-0.2105263157894735,-0.0969899665551839,-0.2151162790697673,-0.3617021276595744,-0.375,-0.3266832917705735,-0.2987012987012987,-0.2780748663101604,-0.2415730337078651,-0.2663043478260869,-0.2479108635097492,-0.2058823529411764,-0.1793313069908814,-0.0425531914893615,-0.0878378378378377,0.0465116279069768,0.25,0.4754098360655738,0.4917127071823204,0.2442396313364057,0.4210526315789475,0.3500000000000001,0.0465116279069768,-0.2307692307692307,-0.235127478753541,-0.1482649842271293,-0.3249999999999999,-0.2722371967654986,-0.1373801916932906,-0.1428571428571428,-0.1176470588235293,-0.0492957746478872,-0.1147540983606556,-0.3414634146341462,-0.3005181347150258
BDAJ_H9-L,16.0,0.0286420770657324,0.1809458533241946,-2.6,-0.0535674611908117,1.4745222929936308,1.20588164621556e-07,-0.0713813615333773,0.2364600833622634,-0.0425043512996833,0.0461095100864553,0.1724137931034484,-0.1212121212121213,-0.1714285714285714,-0.2266666666666666,-0.2317880794701987,-0.2317880794701987,-0.2266666666666666,-0.1145038167938932,-0.0793650793650794,-0.0793650793650794,-0.1007751937984496,-0.0866141732283465,-0.0169491525423729,0.0175438596491228,-0.0169491525423729,0.2210526315789474,-0.0169491525423729,-0.0491803278688525,-0.0169491525423729,0.0357142857142855,0.2608695652173911,0.3975903614457832,0.487179487179487,0.3181818181818181,0.3033707865168538,0.487179487179487,0.5675675675675675,0.7846153846153845,0.8124999999999998,0.7846153846153845,0.5890410958904109,1.0,0.966101694915254,0.7058823529411762,1.109090909090909,0.966101694915254,0.6111111111111112,0.5263157894736841,0.5675675675675675,0.487179487179487,0.3181818181818181,0.2210526315789474,0.1958762886597937,0.2340425531914893,0.2608695652173911,0.2747252747252746,0.0642201834862383,0.1958762886597937,-0.2883435582822086
BJJT_37-L,21.0,0.2887855543766848,0.0030477843826651,17.700000000000003,0.0107590855343448,0.0861430159318266,1.4671670761889513e-07,0.258795408983764,0.7527521087701406,0.4334128878281623,0.4334128878281623,0.0786163522012579,-0.1239669421487602,-0.1542553191489361,-0.1016949152542372,-0.059171597633136,-0.1042253521126759,-0.064705882352941,0.0392156862745098,0.0324675324675325,0.1954887218045113,0.3195020746887966,0.1648351648351649,0.089041095890411,0.227799227799228,0.1438848920863311,0.5588235294117647,0.272,0.2000000000000001,0.2230769230769231,0.2569169960474309,0.2421875,0.2926829268292683,0.282258064516129,0.2183908045977012,0.1648351648351649,0.4133333333333333,0.7005347593582887,0.5900000000000001,0.8816568047337279,0.8068181818181819,0.892857142857143,0.8381502890173411,0.7865168539325844,0.7865168539325844,0.6562500000000002,0.7966101694915255,0.4454545454545453,0.4070796460176993,0.5362318840579712,0.4722222222222221,0.2519685039370078,0.1605839416058394,0.1605839416058394,0.2325581395348837,0.2137404580152671,0.1521739130434785,0.0635451505016722,-0.1519999999999999,-0.1519999999999999
BLNT_37-L^D19,14.0,0.1115650453733014,0.1216575071991736,3.388,-0.0221599289823926,0.2677694972364766,2.265231137261057e-07,0.0697994955171397,0.7071486579355355,0.0664808200754358,0.20495428219904,0.1514195583596214,-0.0335365853658535,-0.015527950310559,-0.0730994152046783,-0.0758017492711371,-0.0994318181818182,-0.0968660968660968,-0.0621301775147928,-0.0124610591900311,0.0079491255961843,0.0745762711864406,0.0709459459459458,0.1241134751773049,0.1103327495621715,0.060200668896321,0.2145593869731801,0.1281138790035587,0.1444043321299639,0.1281138790035587,0.2604373757455267,0.3547008547008548,0.3099173553719008,0.4778554778554778,0.4057649667405765,0.3126293995859213,0.3153526970954357,0.4608294930875576,0.5577395577395576,0.5023696682464456,0.4215246636771299,0.5095238095238095,0.4279279279279278,0.3460721868365179,0.4474885844748859,0.268,0.4215246636771299,0.498817966903073,0.4088888888888888,0.5693069306930694,0.6214833759590792,0.6640419947506562,0.6906666666666665,0.6906666666666665,0.7611111111111111,0.8376811594202898,0.9096385542168676,0.8757396449704142,0.7322404371584699,0.6997319034852547
BLNV_40-L^F19,14.0,0.0927885617588993,0.1973363592059993,-8.439,0.3618292297846228,0.0145771026529251,1.3083130669636582e-10,0.3403013022384885,0.0909329782102487,-0.575080553449583,-0.575080553449583,0.0461538461538462,0.0833333333333332,0.0483870967741935,0.015625,-0.0579710144927536,0.0483870967741935,0.1016949152542372,0.1016949152542372,0.1054421768707483,0.1245674740484428,0.0620915032679738,0.0906040268456376,0.0906040268456376,0.254826254826255,0.25,0.25,0.2037037037037037,0.1403508771929824,0.1403508771929824,0.0869565217391303,0.0317460317460318,0.0317460317460318,-0.0151515151515151,0.0833333333333332,0.0833333333333332,0.0483870967741935,0.3948497854077253,0.3319672131147542,0.2896825396825397,0.3541666666666667,0.450892857142857,0.4008620689655173,0.4908256880733943,0.4705882352941177,0.5625,0.477272727272727,0.0416666666666667,0.4008620689655173,0.5258215962441315,0.1648745519713261,-0.0298507462686566,-0.0384615384615384,-0.0714285714285714,-0.026946107784431,0.022012578616352,-0.0441176470588234,0.1607142857142858,-0.0384615384615384,0.0
BPVK_29-L,15.0,0.0539570464886868,0.3021828987279745,1249.7788999999998,-0.0403077711559838,0.1587308349240931,0.0001835947949661,-0.0105053699296697,17.383270678486006,0.0917282296119791,0.0459105771228935,0.032798325191905,-0.0171467764060356,-0.0284745762711864,-0.08258642765685,-0.1001569858712716,-0.0414715719063544,-0.0100172711571675,-0.0382550335570469,-0.0547493403693931,-0.0191649555099246,-0.0556836902800659,-0.0790488431876607,-0.1104903786468032,-0.1275494672754946,-0.1205891377723229,-0.0733915292596184,-0.0130853994490357,-0.0079612322602976,-0.0271554650373387,-0.0215090474564697,-0.023841961852861,-0.0151202749140894,0.0410461314929166,0.0532892319000366,0.0365280289330922,0.003501400560224,0.0301941049604601,0.0583456425406203,0.1125776397515527,0.2326881720430107,0.1818556701030929,0.2794642857142857,0.0638455827765405,0.0210188813680085,0.184297520661157,0.0599112426035504,0.1341511673921647,0.0475146198830409,0.1760361099712761,0.3455399061032864,0.3146788990825688,0.3628150261531144,0.423038728897716,0.5260915867944622,0.3745803357314148,0.3243992606284658,0.25043630017452,0.2300429184549355,0.1579797979797979
BUBP_92-L^K18,15.0,0.1144879267277269,0.2538829849351862,43.0,0.1059548732286813,0.8482142857142857,1.7701166417963576e-05,0.0176720075400565,5.539531437254466,0.0981398738134861,0.1158660351826793,0.0806697108066969,-0.0237741456166419,-0.0560344827586206,-0.2261484098939928,-0.208433734939759,-0.2197149643705462,-0.2065217391304347,-0.1715006305170239,-0.1355263157894736,-0.1073369565217391,-0.08876560332871,-0.0733427362482368,-0.0694050991501415,-0.0772471910112359,-0.0798319327731091,-0.0560344827586206,0.1526315789473684,0.0682926829268293,0.0735294117647058,0.1859205776173285,0.2189239332096475,0.1690391459074733,0.2032967032967034,0.2166666666666665,0.1465968586387434,0.2077205882352941,0.239622641509434,0.422077922077922,0.4599999999999999,0.3463114754098362,0.5173210161662818,0.4282608695652175,0.3659043659043661,0.3687500000000001,0.5869565217391306,0.6846153846153846,0.5793269230769231,0.4068522483940044,0.4730941704035876,0.4407894736842106,0.2303370786516854,0.198905109489051,0.1486013986013987,0.1837837837837839,0.181654676258993,0.061389337641357,0.077049180327869,-0.0478260869565217,-0.0394736842105262
BUNQ_03-L^K12,23.0,-0.4407480966567361,-3.2505147563486614,-0.3199999999999999,-4.861753834923554,-0.4801526717557252,7.34660647202252e-14,-0.1832917705735661,0.0023226417510722,0.1767176870292976,0.3665594855305465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.3333333333333332,-0.5,-0.5,-0.6000000000000001,-0.6666666666666666,-0.6666666666666666,-0.75,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.5,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.6666666666666666,-0.7142857142857143,-0.7777777777777778,-0.8333333333333333,-0.8571428571428572,-0.8571428571428572,-0.8888888888888888,-0.9,-0.9047619047619048,-0.9090909090909092,-0.9130434782608696,-0.9047619047619048,-0.9230769230769232,-0.9230769230769232,-0.9310344827586208,-0.9230769230769232
